id,title,year,doi,arxiv,publication_status,fulltext_scoped_read,source_url,fulltext_url,implementation_status,read_scope,previous_read_scope,fulltext_read_scope
wallace-si-eirl-2025,Continuous-Time Reinforcement Learning: New Design Algorithms With Theoretical Insights and Performance Guarantees,2025,10.1109/TNNLS.2024.3392237,2307.08920,IEEE TNNLS 36(4):6940–6954，2025-04；DOI 含 2024，所读文本为 2023 arXiv v1，未作版本逐字比较。,True,https://arxiv.org/abs/2307.08920,https://arxiv.org/pdf/2307.08920v1,not_implemented,"[""Table I、Remark 2.2；§III.A–D，Algorithm 1，式 (18)、(22)–(32)；Theorems 4.1–4.3、Remarks 4.1–4.2；§V.B 条件数讨论。""]",,
li-dong-damping-pi-2025,Data-Based Efficient Off-Policy Stabilizing Optimal Control Algorithms for Discrete-Time Linear Systems via Damping Coefficients,2025,,2412.20845,arXiv 预印本；本轮未核得正式发表 DOI。,True,https://arxiv.org/abs/2412.20845,https://arxiv.org/pdf/2412.20845v2,not_implemented,"[""§III–V；Theorems 1、3、4；Algorithms 1–2；式 (14)–(16)、(27)、(33)、(59)，Remarks 6–10。""]",,
alsalti-output-q-2024,An efficient data-based off-policy Q-learning algorithm for optimal output feedback control of linear systems,2024,,2312.03451,L4DC 2024，PMLR 242:312–323；所读为正式会议 PDF。,True,https://arxiv.org/abs/2312.03451,https://proceedings.mlr.press/v242/alsalti24a/alsalti24a.pdf,not_implemented,"[""§2–3；式 (5)–(7)、(20)、(28)；Lemma 3、Algorithm 1、Theorem 6、Remarks 5、7。""]",,
cui-stochastic-rlsvi-2026,"A Fully Data-Driven Value Iteration for Stochastic LQR: Convergence, Robustness, and Stability",2026,10.1109/TNNLS.2026.3675892,2505.02970,IEEE TNNLS Early Access，2026；所读为 arXiv v4。Crossref 仅给年份及页 1–10。,True,https://arxiv.org/abs/2505.02970,https://arxiv.org/pdf/2505.02970v4,not_implemented,"[""§2.1–2.4、§3、§4.2–4.3；Algorithm 1；Assumptions 1–2；Theorems 3–4、Propositions 1、4、5；式 (9)–(10)、(22)–(29)。""]",,
song-iannelli-noisy-indirect-pi-2025,Robustness of Online Identification-based Policy Iteration to Noisy Data,2025,10.1515/auto-2024-0164,2504.07627,at – Automatisierungstechnik 73(6):398–412，2025-05-28；Crossref DOI/卷页已核。所读为 arXiv v2/作者稿。,True,https://arxiv.org/abs/2504.07627,https://arxiv.org/pdf/2504.07627v2,not_implemented,"[""§2、§3、§4；Algorithms 2–3；Assumptions 1–4；Theorems 3–5。""]",,
wu-critic-free-ctpi-2026,Data-Driven Critic-Free Policy Iteration for Continuous-Time Linear Quadratic Regulation,2026,,2607.08204,arXiv v1 预印本，未核得正式发表。,True,https://arxiv.org/abs/2607.08204,https://arxiv.org/pdf/2607.08204v1,not_implemented,"[""§II–III；式 (6)–(26)、(31)–(36)；Assumptions 1、3；Lemma 1、Proposition 1、Theorems 1–3、Corollary 1、Algorithm 1。""]",,
xie-ct-output-pivi-2026,Data-Enabled Policy and Value Iteration for Continuous-Time Linear Quadratic Output Feedback Control,2026,,2603.14386,arXiv v1 预印本，未核得正式发表。,True,https://arxiv.org/abs/2603.14386,https://arxiv.org/pdf/2603.14386v1,not_implemented,"[""§2、§3 的提升秩/投影构造、§4.2–4.3、§5 的系统阶讨论；Theorem 3.1、Lemma 3.4、Propositions 4.5–4.6、Algorithms 1–2、Remarks 4.4、4.7；式 (16)、(30)、(32)–(33)。""]",,
cao-stochastic-stabilizer-2026,Stabilizer Design for Policy Iteration in Stochastic Linear Quadratic Control: A Spectrum-Assignment Approach,2026,,2608.05953,arXiv v1 预印本，未核得正式发表。,True,https://arxiv.org/abs/2608.05953,https://arxiv.org/pdf/2608.05953v1,not_implemented,"[""§II；§III 的谱平移解释；§IV.A–E；Assumptions 1–2、4–5；Theorem 1、Theorem 2、Corollary 1、Algorithm 2；式 (2)–(4)、(10)–(17)、(39)–(41)、(63)、(83)、(85)。附录证明未逐项读。""]",,
lin-huang-irl-overview-2026,Data-driven control for continuous-time linear systems via integral reinforcement learning: An overview,2026,10.1016/j.jai.2026.08.004,,Journal of Automation and Intelligence，journal pre-proof / available online 2026-08-22（出版社索引）；Crossref 年月 2026-08。,False,https://www.sciencedirect.com/science/article/pii/S2949855426000560,https://www.sciencedirect.com/science/article/pii/S2949855426000560,not_implemented,"[""Crossref 书目；Elsevier coredata XML；出版社搜索索引可见节段。""]",,
2401.06721,The Role of Identification in Data-driven Policy Iteration: A System Theoretic Study,2024,,2401.06721,,False,https://arxiv.org/abs/2401.06721,,not_implemented,"[""仅书目和摘要，未纳入方法结论。""]",,
krauth-tu-recht-finite-lspi-2019,Finite-time Analysis of Approximate Policy Iteration for the Linear Quadratic Regulator,2019,,1905.12842,NeurIPS 2019 正式会议正文 PDF；历史核心补充，不计入 2023–2026 的 8 篇。,True,https://papers.neurips.cc/paper/9058-finite-time-analysis-of-approximate-policy-iteration-for-the-linear-quadratic-regulator.pdf,https://papers.neurips.cc/paper/9058-finite-time-analysis-of-approximate-policy-iteration-for-the-linear-quadratic-regulator.pdf,not_implemented,"[""§2.1–2.2，Theorems 2.1–2.2，Algorithms 1–2，式 (2.3)–(2.14)；未读取 extended-version 证明。""]",,
safety-2506.08121,Continuous Policy and Value Iteration for Stochastic Control Problems and Its Convergence,2025,,2506.08121,arXiv preprint; v2 revised in 2026; no journal reference verified,True,https://arxiv.org/abs/2506.08121,https://arxiv.org/pdf/2506.08121,not_implemented,"{""sections"": [""§2 relaxed control formulation"", ""§6.1 convergence of relaxed control dynamics""], ""pdf_pages"": [1, 2, 3, 4, 5, 27, 28, 29, 30], ""equations"": [""(1)-(6)"", ""(42)-(47)""], ""theorems"": [""Assumption 2"", ""Assumption 28"", ""Lemma 29"", ""Proposition 30""], ""not_read"": ""Other convergence branches and most proofs/appendices are not fully read.""}",,
safety-2401.13148,Stable and Safe Human-aligned Reinforcement Learning through Neural Ordinary Differential Equations,2024,,2401.13148,Accepted to Human-aligned RL workshop at ICRA 2024 according to arXiv; not verified as main-track ICRA paper,True,https://arxiv.org/abs/2401.13148,https://arxiv.org/pdf/2401.13148,not_implemented,"{""sections"": [""§II formulation and DT CLF/CBF preliminaries"", ""§III NODE-based constrained actor-critic design""], ""pdf_pages"": [1, 2, 3, 4], ""equations"": [""(1)-(8)"", ""(12)-(13)""], ""algorithms"": [""Algorithm 1"", ""Algorithm 2""], ""not_read"": ""Full experiments and complete proof audit not performed; model-error limitation in conclusion inspected.""}",,
